vietnamese,bahnaric
"Vua lập một. Nơi. Cực. Thánh ở giữa Ðền. Thờ, phía trong, để đặt. Hòm. Bia. Giao Ước của Ðức. Chúa.",Potao kum perm hornet Anih Long ROgoh hloh wa tah horn todrong pogdp Kra Yang lam noh in anu
"Vua lập một. Nơi. Cực. Thánh ở giữa Ðền. Thờ, phía trong, để đặt. Hòm. Bia. Giao Ước của Ðức. Chúa.",Potao kum perm hornet Anih Long ROgoh hloh wa tah horn todrong pogdp Kra Yang lam noh jul adrêch
"Vua lập một. Nơi. Cực. Thánh ở giữa Ðền. Thờ, phía trong, để đặt. Hòm. Bia. Giao Ước của Ðức. Chúa.",Potao kum perm hornet Anih Long ROgoh hloh wa tah horn todrong pogdp Kra Yang lam noh jơrông phă long
"Vua lập một. Nơi. Cực. Thánh ở giữa Ðền. Thờ, phía trong, để đặt. Hòm. Bia. Giao Ước của Ðức. Chúa.",Potao kum perm hornet Anih Long ROgoh hloh wa tah horn todrong pogdp Kra Yang lam noh le
thế này,in anu Potao kum perm hornet Anih Long ROgoh hloh wa tah horn todrong pogdp Kra Yang lam noh
thế này,in anu jul adrêch
thế này,in anu jơrông phă long
thế này,in anu le
gieo trồng,jul adrêch Potao kum perm hornet Anih Long ROgoh hloh wa tah horn todrong pogdp Kra Yang lam noh
gieo trồng,jul adrêch in anu
