bahnaric,vietnamese
Potao kum perm hornet Anih Long ROgoh hloh kochŭr tah horn todrong pogdp Kra Yang lam noh,"Vua lập một. Nơi. Cực. Thánh ở giữa Ðền. Thờ, phía trong, để đặt. Hòm. Bia. Giao Ước của Ðức. Chúa."
Potao kum perm hornet Anih Long ROgoh rơpiẽt wa tah horn todrong pogdp Kra Yang lam noh,"Vua lập một. Nơi. Cực. Thánh ở giữa Ðền. Thờ, phía trong, để đặt. Hòm. Bia. Giao Ước của Ðức. Chúa."
Potao kum perm hornet Anih Long ROgoh bơ̆k wa tah horn todrong pogdp Kra Yang lam noh,"Vua lập một. Nơi. Cực. Thánh ở giữa Ðền. Thờ, phía trong, để đặt. Hòm. Bia. Giao Ước của Ðức. Chúa."
Potao kum perm hornet Anih Long ROgoh hloh so tah horn todrong pogdp Kra Yang lam noh,"Vua lập một. Nơi. Cực. Thánh ở giữa Ðền. Thờ, phía trong, để đặt. Hòm. Bia. Giao Ước của Ðức. Chúa."
Potao kum perm hornet Anih Long ROgoh pơmgăl wa tah horn todrong pogdp Kra Yang lam noh,"Vua lập một. Nơi. Cực. Thánh ở giữa Ðền. Thờ, phía trong, để đặt. Hòm. Bia. Giao Ước của Ðức. Chúa."
in khŏ pơ chuă,thế này
in pơnhan,thế này
chơkăl anu,thế này
in kung kơ thang,thế này
in nă ma,thế này
