Bahnaric,Vietnamese
	Anhong Bin war kopen j ing du kĩch along boih anoh. 	Inh tôch pơret. AnhongNhơp! Thar lẽch!,"	Anh Bìn đóng khô""cho thành du kích tốt rồi đó 	Anh Nhớp ! Tôi quát rất to"
"	Anhong Bin war kopen j ing du kĩch along boih anoh. Băthơdoi, bătkơdih","	Anh Bìn đóng khô""cho thành du kích tốt rồi đó 	Biết chung, biết riêng"
"	Anhong Bin war kopen j ing du kĩch along boih anoh. Sonẽnh oh brei drâu kữm sơsek dẽh, anhong Bin ah, Bin pơmapơhiôk atõk ănjohngốm inh.","	Anh Bìn đóng khô""cho thành du kích tốt rồi đó 	Cái răng của em hôm nay vừa đau vừa ngứa hung, anh Bin ạ, Bin dấn bước lên ngang tôi nói"
	Anhong Bin war kopen j ing du kĩch along boih anoh. 	Liơ gơh tơbõp? Hăp tim wãn tok bõk tồ đon kơ pơjing et satih,"	Anh Bìn đóng khô""cho thành du kích tốt rồi đó 	Làm sao gặp? Nó đang bận lo tổ chức liên hoan mà"
"	Anhong Bin war kopen j ing du kĩch along boih anoh. 	Inh khan, inh ameh suang joh hơdoi đẽch","	Anh Bìn đóng khô""cho thành du kích tốt rồi đó 	Mình ưng múa hát chung thôi, tôi nói"
"	Anhong Bin war kopen j ing du kĩch along boih anoh. 	Hăp mah lôch lei tơdrong ưh kơ bônh ôh, inh khan","	Anh Bìn đóng khô""cho thành du kích tốt rồi đó 	Nó mà chết thì chuyện không đơn giản đâu, tôi nói"
	Anhong Bin war kopen j ing du kĩch along boih anoh. 	Mă jơlơh đĩ đunh bơih inh wă hiơt kơ hăp,"	Anh Bìn đóng khô""cho thành du kích tốt rồi đó 	Ờ nhỉ đã lâu tôi gần nhưquên hắn"
"	Anhong Bin war kopen j ing du kĩch along boih anoh. 	Klai kơ nhap Mi Kon-lơdêh, anhong Bin ah","	Anh Bìn đóng khô""cho thành du kích tốt rồi đó 	Ớn cho thằng Mỹ Kon-lơ quá, anh Bin ạ"
"	Anhong Bin war kopen j ing du kĩch along boih anoh. 	Măng drâu bởn pơdơh, kơnh dơning bỡn wih tơ rỗng...","	Anh Bìn đóng khô""cho thành du kích tốt rồi đó 	Tốì nay mình nghỉ, mai mốt được về phía sau"
"	Anhong Bin war kopen j ing du kĩch along boih anoh. 	Bin khan, gơsỡ âu chơt gloh iih","	Anh Bìn đóng khô""cho thành du kích tốt rồi đó 	Tốĩ nay vui hung đó, Bin nói"
