Bahnaric,Vietnamese
Potao ku’m perm hornet hơ năp. Anih 'Long hơ năp. ROgoh hloh wa tah horn todrong pogdp hơ năp. Kra hơ năp. Yang lam noh hơ năp.,"Vua lập một cây trĩ cột ngang để trét vách nhà. Nơi cây trĩ cột ngang để trét vách nhà. Cực cây trĩ cột ngang để trét vách nhà. Thánh ở giữa Ðền cây trĩ cột ngang để trét vách nhà. Thờ cây trĩ cột ngang để trét vách nhà, phía trong cây trĩ cột ngang để trét vách nhà, để đặt cây trĩ cột ngang để trét vách nhà. Hòm cây trĩ cột ngang để trét vách nhà. Bia cây trĩ cột ngang để trét vách nhà. Giao Ước của Ðức cây trĩ cột ngang để trét vách nhà. Chúa cây trĩ cột ngang để trét vách nhà."
in anu kơxeng.,thế này
jul adrêch pơngo.,gieo trồng
jơrông phă ‘long pơlei.,sâu đục thân
le grẽnh.,gồm
nghê năm.,nghề
pơgloh la klêl.,nhất là
pơm pơmun.,thực hiện
pơnhroh sơnăm lăp.,hoạchnăm
thu ‘yok gơgơ̆l.,thu nhập
