Bahnaric,Vietnamese
Potao ku’m perm hornet hơ năp. Anih 'Long hơ năp. ROgoh hloh wa tah horn todrong pogdp hơ năp. Kra hơ năp. Yang lam noh hơ năp.,"Vua lập một cây trĩ cột ngang để trét vách nhà. Nơi cây trĩ cột ngang để trét vách nhà. Cực cây trĩ cột ngang để trét vách nhà. Thánh ở giữa Ðền cây trĩ cột ngang để trét vách nhà. Thờ cây trĩ cột ngang để trét vách nhà, phía trong cây trĩ cột ngang để trét vách nhà, để đặt cây trĩ cột ngang để trét vách nhà."
Potao ku’m perm hornet hơ năp. Anih 'Long hơ năp. ROgoh hloh wa tah horn todrong pogdp hơ năp. Yang lam noh hơ năp. Kra hơ năp.,"Vua lập một cây trĩ cột ngang để trét vách nhà. Nơi cây trĩ cột ngang để trét vách nhà. Cực cây trĩ cột ngang để trét vách nhà. Thờ cây trĩ cột ngang để trét vách nhà, phía trong cây trĩ cột ngang để trét vách nhà, để đặt cây trĩ cột ngang để trét vách nhà. Thánh ở giữa Ðền cây trĩ cột ngang để trét vách nhà."
Potao ku’m perm hornet hơ năp. Anih 'Long hơ năp. Kra hơ năp. ROgoh hloh wa tah horn todrong pogdp hơ năp. Yang lam noh hơ năp.,"Vua lập một cây trĩ cột ngang để trét vách nhà. Nơi cây trĩ cột ngang để trét vách nhà. Thánh ở giữa Ðền cây trĩ cột ngang để trét vách nhà. Cực cây trĩ cột ngang để trét vách nhà. Thờ cây trĩ cột ngang để trét vách nhà, phía trong cây trĩ cột ngang để trét vách nhà, để đặt cây trĩ cột ngang để trét vách nhà."
Potao ku’m perm hornet hơ năp. Anih 'Long hơ năp. Kra hơ năp. Yang lam noh hơ năp. ROgoh hloh wa tah horn todrong pogdp hơ năp.,"Vua lập một cây trĩ cột ngang để trét vách nhà. Nơi cây trĩ cột ngang để trét vách nhà. Thánh ở giữa Ðền cây trĩ cột ngang để trét vách nhà. Thờ cây trĩ cột ngang để trét vách nhà, phía trong cây trĩ cột ngang để trét vách nhà, để đặt cây trĩ cột ngang để trét vách nhà. Cực cây trĩ cột ngang để trét vách nhà."
Potao ku’m perm hornet hơ năp. Anih 'Long hơ năp. Yang lam noh hơ năp. ROgoh hloh wa tah horn todrong pogdp hơ năp. Kra hơ năp.,"Vua lập một cây trĩ cột ngang để trét vách nhà. Nơi cây trĩ cột ngang để trét vách nhà. Thờ cây trĩ cột ngang để trét vách nhà, phía trong cây trĩ cột ngang để trét vách nhà, để đặt cây trĩ cột ngang để trét vách nhà. Cực cây trĩ cột ngang để trét vách nhà. Thánh ở giữa Ðền cây trĩ cột ngang để trét vách nhà."
Potao ku’m perm hornet hơ năp. Anih 'Long hơ năp. Yang lam noh hơ năp. Kra hơ năp. ROgoh hloh wa tah horn todrong pogdp hơ năp.,"Vua lập một cây trĩ cột ngang để trét vách nhà. Nơi cây trĩ cột ngang để trét vách nhà. Thờ cây trĩ cột ngang để trét vách nhà, phía trong cây trĩ cột ngang để trét vách nhà, để đặt cây trĩ cột ngang để trét vách nhà. Thánh ở giữa Ðền cây trĩ cột ngang để trét vách nhà. Cực cây trĩ cột ngang để trét vách nhà."
Potao ku’m perm hornet hơ năp. ROgoh hloh wa tah horn todrong pogdp hơ năp. Anih 'Long hơ năp. Kra hơ năp. Yang lam noh hơ năp.,"Vua lập một cây trĩ cột ngang để trét vách nhà. Cực cây trĩ cột ngang để trét vách nhà. Nơi cây trĩ cột ngang để trét vách nhà. Thánh ở giữa Ðền cây trĩ cột ngang để trét vách nhà. Thờ cây trĩ cột ngang để trét vách nhà, phía trong cây trĩ cột ngang để trét vách nhà, để đặt cây trĩ cột ngang để trét vách nhà."
Potao ku’m perm hornet hơ năp. ROgoh hloh wa tah horn todrong pogdp hơ năp. Anih 'Long hơ năp. Yang lam noh hơ năp. Kra hơ năp.,"Vua lập một cây trĩ cột ngang để trét vách nhà. Cực cây trĩ cột ngang để trét vách nhà. Nơi cây trĩ cột ngang để trét vách nhà. Thờ cây trĩ cột ngang để trét vách nhà, phía trong cây trĩ cột ngang để trét vách nhà, để đặt cây trĩ cột ngang để trét vách nhà. Thánh ở giữa Ðền cây trĩ cột ngang để trét vách nhà."
Potao ku’m perm hornet hơ năp. ROgoh hloh wa tah horn todrong pogdp hơ năp. Kra hơ năp. Anih 'Long hơ năp. Yang lam noh hơ năp.,"Vua lập một cây trĩ cột ngang để trét vách nhà. Cực cây trĩ cột ngang để trét vách nhà. Thánh ở giữa Ðền cây trĩ cột ngang để trét vách nhà. Nơi cây trĩ cột ngang để trét vách nhà. Thờ cây trĩ cột ngang để trét vách nhà, phía trong cây trĩ cột ngang để trét vách nhà, để đặt cây trĩ cột ngang để trét vách nhà."
Potao ku’m perm hornet hơ năp. ROgoh hloh wa tah horn todrong pogdp hơ năp. Kra hơ năp. Yang lam noh hơ năp. Anih 'Long hơ năp.,"Vua lập một cây trĩ cột ngang để trét vách nhà. Cực cây trĩ cột ngang để trét vách nhà. Thánh ở giữa Ðền cây trĩ cột ngang để trét vách nhà. Thờ cây trĩ cột ngang để trét vách nhà, phía trong cây trĩ cột ngang để trét vách nhà, để đặt cây trĩ cột ngang để trét vách nhà. Nơi cây trĩ cột ngang để trét vách nhà."
