Bahnaric,Vietnamese
Potao ku’m perm hornet. Anih 'Long. ROgoh hloh wa tah horn todrong pogdp. Kra. Yang lam noh.,"Vua lập một. Nơi. Cực. Thánh ở giữa Ðền. Thờ, phía trong, để đặt."
Potao ku’m perm hornet. Anih 'Long. ROgoh hloh wa tah horn todrong pogdp. Yang lam noh. Kra.,"Vua lập một. Nơi. Cực. Thờ, phía trong, để đặt. Thánh ở giữa Ðền."
Potao ku’m perm hornet. Anih 'Long. Kra. ROgoh hloh wa tah horn todrong pogdp. Yang lam noh.,"Vua lập một. Nơi. Thánh ở giữa Ðền. Cực. Thờ, phía trong, để đặt."
Potao ku’m perm hornet. Anih 'Long. Kra. Yang lam noh. ROgoh hloh wa tah horn todrong pogdp.,"Vua lập một. Nơi. Thánh ở giữa Ðền. Thờ, phía trong, để đặt. Cực."
Potao ku’m perm hornet. Anih 'Long. Yang lam noh. ROgoh hloh wa tah horn todrong pogdp. Kra.,"Vua lập một. Nơi. Thờ, phía trong, để đặt. Cực. Thánh ở giữa Ðền."
Potao ku’m perm hornet. Anih 'Long. Yang lam noh. Kra. ROgoh hloh wa tah horn todrong pogdp.,"Vua lập một. Nơi. Thờ, phía trong, để đặt. Thánh ở giữa Ðền. Cực."
Potao ku’m perm hornet. ROgoh hloh wa tah horn todrong pogdp. Anih 'Long. Kra. Yang lam noh.,"Vua lập một. Cực. Nơi. Thánh ở giữa Ðền. Thờ, phía trong, để đặt."
Potao ku’m perm hornet. ROgoh hloh wa tah horn todrong pogdp. Anih 'Long. Yang lam noh. Kra.,"Vua lập một. Cực. Nơi. Thờ, phía trong, để đặt. Thánh ở giữa Ðền."
Potao ku’m perm hornet. ROgoh hloh wa tah horn todrong pogdp. Kra. Anih 'Long. Yang lam noh.,"Vua lập một. Cực. Thánh ở giữa Ðền. Nơi. Thờ, phía trong, để đặt."
Potao ku’m perm hornet. ROgoh hloh wa tah horn todrong pogdp. Kra. Yang lam noh. Anih 'Long.,"Vua lập một. Cực. Thánh ở giữa Ðền. Thờ, phía trong, để đặt. Nơi."
