Bahnaric,Vietnamese,pos,theme
huĕn,ả,d.,people
hơbŏ,ả,d.,people
thĕng,ả,d.,people
thẽng,ả,d.,people
'ba,mạ,đ.,animal
'ba,sàng,đ.,ill
alô,a lô,d.,animal
ak,ác,d.,place
'bah jơhah,mệt hết hơi,đ.,time
brư̆,ác,d.,time
kơnĕ,ác,d.,body
apo,ác,d.,animal
chư̆ kơnê̆,ác,d.,animal
kơtang,ác,d.,ill
'bak,làm dấu,đ.,animal
brư̆ ,ác,d.,animal
kơ,ách,d.,animal
'bak,trắng,t.,time
'bal,làm dấu,đ.,time
'bal,xẻo,đ.,place
ăch,ách,d.,animal
ăt,ách,d.,animal
gŏ che,ấm,d.,thing
gŏ ơ̆m,ấm,d.,thing
'bang,mâm gỗ,đ.,body
'bang,rồi,lt.,food
gŏche,ấm,d.,thing
'bao,bào,đ.,place
kơpĭn,ấm,d.,thing
'bap 'bap,mấp máy môi,đ.,ill
'bar,ba,st.,body
'bar,hai,st.,ill
'bat,lây bệnh,đ.,place
'bat,mặn,t.,body
'bau,bảo,đ.,animal
'bay,bảy gang,t.,animal
phĭ,ấm,d.,thing
'beh,làm quen,đ.,food
'beh,sứt,đ.,food
'beh,thầm,t.,ill
tơ gô̆,ấm,d.,thing
tơ tô̆,ấm,d.,thing
tơnŏ,ấm,d.,thing
'bel,cố gắng làm nhưng không được,đ.,food
'bel,cố gắng làm nhưng không được ,đ.,time
'bel,ăn cắp vặt,đ.,body
'ben,kỹ lượng,t.,place
tơtô̆,ấm,d.,thing
'bep,mấp,đ.,animal
'ber,đặc,t.,animal
'bet,diệt,đ.,body
'bet,giết,đ.,animal
'bet,đâm,đ.,place
tơtỗ,ấm,d.,thing
ŏr,ấm,d.,thing
'bia,mượt mà,t.,ill
'biah,bằng phẳng,t.,animal
'biah,hết sạch,đ.,food
ơ̆m,ấm,d.,thing
'biah,thanh,t.,food
'biap 'biap,nhai nhóp nhép,đ.,animal
'biau,không để lại vết sẹo,trt.,food
'bich,nằm,đ.,body
'bich 'buch,tủm tỉm cười,st.,time
'biep,đúng mọc,trđt,animal
'bih,con rắn,d.,food
ẽr,ấm,d.,thing
'bih klan,trăn,đ.,food
'bit,bênh,đ.,food
'bit,bênh vực,đ.,time
'bitì,cháy,đ.,time
'biâu,không để lại vết sẹo,lt.,ill
'biêh,khéo,t.,ill
'biêh,khéo léo,t.,ill
'biêt,bĩu môi,đ.,body
dơnŏ,ấm,d.,thing
'biê̆,hiếm,t.,ill
'biê̆,hé,đ.,animal
'biê̆,ra,đ.,food
gŏ rơ̆ đak,ấm,d.,thing
rơnuk,ấm,d.,thing
'biê̆,ít,t.,place
'biê̆ loi,kém,t.,animal
'biĕr,ăn khít với nhau,thđ.,animal
'biĕt,tía chớp,thđ.,body
'biơh,bằng phẳng,t.,place
'biơp 'biơp,nhai ngấu nghiến,t.,body
'biơt,bĩu môi,đ.,animal
'biơ̆,hơn,t.,body
'biơ̆,một ít ,thđ.,ill
'biữ,cao,t.,place
'biữ,dâng,đ.,time
'biữ 'biữ,từ từ dâng cao ,dtđv.,ill
'biữ 'biữ,đổ xuống,d.,food
tơ,ấm,d.,thing
'blach lơlia 'blia lơ liau,bằng phẳng mênh mông,dtr.,ill
'blach lơliau,đất trống,trt.,ill
tơlŏ,ấm,d.,thing
tơtŏ,ấm,d.,thing
'blang kua,cây gòn gai đỏ,d.,time
phí,ấm,d.,thing
'blanh,trắng,t.,place
'blanh tơhioy,da trắng nõn,dtđv.,animal
'bleh,dây loại dây rừng có củ trên dây,dtđv.,animal
'bleh,loại dây rừng,trđt,animal
'bleh,trằn,đ.,animal
'bleh,trọc,đ.,food
'blek,quét lửa thể sơ,cpl.,food
'bleng,ngập nước,thđ.,animal
hiôm,ẩm,d.,place
'blep,khít,t.,time
'blet 'blet,ánh sáng lập lòe,t.,time
'blet nhĕp,ánh sáng nhấp nháy,thđ.,time
'blet nhĕp,ánh sáng nhấp nhảy,đt.,animal
'blia,bằng,Gt.,time
hngiôm,ẩm,d.,time
'bliah,thanh,t.,body
'bliau,trời mênh mông,trđt,body
'blil blol,trò chơi trẻ em,dtđv.,body
'bling,nhấp,đ.,ill
hngôm,ẩm,d.,body
'blip,lóe sáng,dtr.,place
'blit 'blat,ánh sáng lớn lóe lên,st.,ill
'bliêng,lác,t.,food
'blo,tự kiếm,trđt,body
'blo,đầy vun,trt.,food
'bloi 'bloi,lên mặt nước thở,cpl.,animal
'bloih,tụt,đ.,body
