tay,viet
Mjề,bà cô
Noọng a ấc cải,em ngực bự
Noọng slao ấc cải,em ngực bự
Noọng a,em gái
Noọng slao,em gái
Chin A,ăn nhé
mừa A,về thôi nhé
chư A,phải rồi
Đút A dè,ăn đi nào
Boong nẩy le A lùa ỏi,người này là bà thím tôi
Cần nẩy chen A lùa ỏi,người này là bà thím tôi
Cần nẩy Lưa A lùa ỏi,người này là bà thím tôi
Cần nẩy lé A lùa ỏi,người này là bà thím tôi
A rối Làu slao lai,ôi! xinh gái quá!
Pi á,bà chị
khuốp á,bà chị
Bấu pây nau á,không đi à?
Đai pây nau á,không đi à?
Mí pây nau á,không đi à?
Nái pây nau á,không đi à?
Fạt đảy mí à,làm được không hả?
Hấy đảy mí à,làm được không hả?
Slan đảy mí à,làm được không hả?
Tức đảy mí à,làm được không hả?
ả Châng,giạng chân
Chiếc chin,miếng ăn
Pạp chin,miếng ăn
Phjể chin,miếng ăn
ám Đút,miếng ăn
Chiếc,miếng
Pạp,miếng
Phjể,miếng
Chiếc đin,miếng đất
Pạp đin,miếng đất
Phjể đin,miếng đất
Chiếc tỉ,chỗ ấy
Pạp tỉ,chỗ ấy
Phjể tỉ,chỗ ấy
Tặp,đếm
nòn phồm Tặp vài,nằm sấp đếm trâu
Pát ủn,chậu sành đựng nước
ủn,chậu sành đựng nước
Pát ủn nặm,chậu nước
ủn nặm,chậu nước
Pát ủn,bát to
ủn,bát to
Pát ủn phẳn,bát phở
ủn phẳn,bát phở
ảo hết,làm liều
Cuốn hết,làm liều
ảo hết hết,làm liều
Cuốn hết hết,làm liều
Noọng a áo khỏi,em trai tôi
Noọng slao áo khỏi,em trai tôi
Tệnh,chen
nòn Tệnh căn,ngủ chen nhau
ăn Mự,hằng ngày
ăn Nâư,hằng ngày
ăn Vằn,hằng ngày
Bặp lìn ắn,nước máng bí
Bặp ắng thâng tẩư lang,nước ứ đến gầm sàn
slính ắng khửn Boong,cơn tức dâng lên tận cổ
slính ắng khửn Mốc,cơn tức dâng lên tận cổ
slính ắng khửn Pầu,cơn tức dâng lên tận cổ
slính ắng khửn Slim,cơn tức dâng lên tận cổ
Pao,cái ấm
chí,cái ấm
Pao nặm chè,ấm nước chè
chí nặm chè,ấm nước chè
đảy păn Chiếc ấc,được chia phần tốt
đảy păn Pạp ấc,được chia phần tốt
đảy păn Phjể ấc,được chia phần tốt
Bặp noòng ấn bấu quá ta đẩy,nước lũ to liệu chừng không qua được
Cổn ba,tai bè ra
Bả mừa A dương mé,vội về thăm bà
Cáp ngù Bả biếng ni,gặp rắn hấp tấp chạy
Ngộ ngù Bả biếng ni,gặp rắn hấp tấp chạy
Sluông ngù Bả biếng ni,gặp rắn hấp tấp chạy
Thuông ngù Bả biếng ni,gặp rắn hấp tấp chạy
Bặng bả mu,bị bệnh động kinh
Pện bả mu,bị bệnh động kinh
Tồng giống bả mu,bị bệnh động kinh
Boong bả Bả slâư,người dại dột
Thân slẩy Bá bảy,bụng dạ rối bời
Nhá,bã
Nhửa,bã
Slá,bã
Đút nặm cài Bạ,ăn nước nhả bã
chin nặm cài Nhá,ăn nước nhả bã
chin nặm cài Nhửa,ăn nước nhả bã
chin nặm cài Slá,ăn nước nhả bã
Dé,bác
Lùng,bác
Dé pả mì lèng chầy lá,bác bá khoẻ thôi chứ
Lùng pả mì lèng chầy lá,bác bá khoẻ thôi chứ
Chin A phuối Bạch ngạch,ăn nói lếu láo
Cồn,cuốc bướm
Khoi,cuốc bướm
Ngào,cuốc bướm
xai,cuốc bướm
Xóp,cuốc bướm
Au Cồn bjai nhả,dùng cuốc bướm cào cỏ
Au Khoi bjai nhả,dùng cuốc bướm cào cỏ
Au Ngào bjai nhả,dùng cuốc bướm cào cỏ
Au xai bjai nhả,dùng cuốc bướm cào cỏ
Au Xóp bjai nhả,dùng cuốc bướm cào cỏ
Cồn,cái muôi
Khoi,cái muôi
Ngào,cái muôi
xai,cái muôi
Xóp,cái muôi
Cồn nặm keng,muôi nước canh
Khoi nặm keng,muôi nước canh
Ngào nặm keng,muôi nước canh
xai nặm keng,muôi nước canh
Xóp nặm keng,muôi nước canh
Cồn,trộn
Khoi,trộn
Ngào,trộn
xai,trộn
Xóp,trộn
Khẩu nua Cồn thúa,xôi trộn đỗ
Khẩu nua Khoi thúa,xôi trộn đỗ
Khẩu nua Ngào thúa,xôi trộn đỗ
Khẩu nua xai thúa,xôi trộn đỗ
Khẩu nua Xóp thúa,xôi trộn đỗ
Slon Pài,học bài
Pài lượn,bài lượn
Pài nhài,kể lể
Pài nhài lai tuyện,kể lể lắm chuyện
Choảl,nhai
Vài Choảl nhả,trâu nhai cỏ
Choảl,vát
Choảl pác bằng,vát miệng ống nước
Hạng,những
Nhịnh,những
Hạng co khẩu,những cây lúa
Nhịnh co khẩu,những cây lúa
Bại co Khảu,những cây lúa
Hạng cần pây tông,những người đi làm đồng
Nhịnh cần pây tông,những người đi làm đồng
Búng Lốm,chỗ lõm
Lâu nà mì lai Mường Bam,thửa ruộng có nhiều chỗ lõm
Lâu nà mì lai búng Búng Lốm,thửa ruộng có nhiều chỗ lõm
Nhình đếch ngòi Ban búm,đứa trẻ trông đẫy đà
Chang Bán,thiến sót
Pán Bán,thiến sót
Pạng Bán,thiến sót
Nả bang,mỏng
Nả Nhẻn,mỏng
Xẩu,mỏng
Slửa Nả bang,áo mỏng
Slửa Nả Nhẻn,áo mỏng
Slửa Xẩu,áo mỏng
Nả bang,thưa
Nả Nhẻn,thưa
Xẩu,thưa
Dộc ỏi Bang,khóm mía thưa
éo ỏi Bang,khóm mía thưa
Doòng ỏi Nả bang,khóm mía thưa
