tay,viet
me,bà cô
noọng ấc cải,em ngực bự
noọng,em gái
Chin,ăn nhé
mừa,về thôi nhé
chư,phải rồi
chin A dè,ăn đi nào
pây A dè,đi thôi chứ
Cần nẩy le A lùa ỏi,người này là bà thím tôi
A rối ! Mjạc slao lai!,ôi! xinh gái quá!
pi á,bà chị
Nắm pây nau á?,không đi à?
đảy á,được rồi
Hết đảy mí à?,làm được không hả?
ả tu,mở cửa
ả pác,há miệng
ả kha,giạng chân
ả mừ,xoè tay
ái pây liêu,muốn đi
ái thâng nèn,sắp đến tết
ái thâng rườn,gần đến nhà
ái mì 500 cần,có gần 500 người
ải chải,cật lực
Am,nhão
mỏ khảu bặng chảo Am,nồi cơm như cháo đặc
ám chin,miếng ăn
ám,miếng
ám đin,miếng đất
ám tỉ,chỗ ấy
an,yên ổn
dú bấu an,ở không yên
an,lo liệu
an ý ngòi,lo liệu xem
án,đếm
nòn phồm án vài,nằm sấp đếm trâu
áng,chậu sành đựng nước
áng nặm,chậu nước
áng,bát to
áng phẳn,bát phở
ảng,cổng
tu ảng,cổng chào
ảng,"khoe, khoe khoang"
ảng slướng,khoe vẻ đẹp
ảng slướng,phô trương
ảo,làm liều
ảo hết,làm liều
po áo,ông chú
noọng áo khỏi,em trai tôi
sloong áo,hai cô chú
áo khươi,chú
áp,tắm
pây nặm tang pây áp,đi gánh nước nhân tiện đi tắm
ăm pha,chập đôi
cáy phặc ăm pha,gà mái ấp tranh giành ổ nhau
ắm,chen
nòn ắm căn,ngủ chen nhau
ằm,mẹ
ăn cuôi,cái sọt
ăn rườn,cái nhà
sloong ăn mác pục,hai quả bưởi
ăn đây,điều tốt
ăn rại,điều xấu
ăn tỉ te chắc dá,điều đó nó đã biết rồi
ăn vằn,hằng ngày
ăn bườn,hằng tháng
ăn pày,thường khi
pù pài ăng ắc,núi đồi trùng điệp
tông nà ăng ắc,cánh đồng bạt ngàn
pù khau ăng ắc bjoóc bâư,núi rừng bạt ngàn hoa lá
nà nặm ăng ắc,cánh đồng nước đầy ăm ắp
Nặm lìn ắn,nước máng bí
Oóc ắn,đầu óc không sáng suốt
Nặm ắng thâng tẩư lang,nước ứ đến gầm sàn
slính ắng khửn cò,cơn tức dâng lên tận cổ
ẩm,cái ấm
ẩm nặm chè,ấm nước chè
Chếp ấc,đau ngực
đảy păn ám ấc,được chia phần tốt
ấn ngòi lẹo kỉ lai chèn,ước lượng xem hết bao nhiêu tiền
Nặm noòng ấn bấu quá ta đẩy,nước lũ to liệu chừng không qua được
ấn te pây thâng dá,tính ra nó đã đến nơi rồi
ấu,ninh
ấu,hầm
ấu hẩư tư,ninh cho nhừ
Ba,bè ra
Xu ba,tai bè ra
Ba minh,cái xà beng
Au ba minh tào hin,dùng xà beng đào đá
ma bả,chó dại
phuối bả,"nói dại, nói dở"
Bả thai,giãy chết
Bả fạc fạc,giãy đành đạch
Bả mừa dương mé,vội về thăm bà
Bả biếng,vội vàng
Bả biếng,hấp tấp
Chập ngù Bả biếng ni,gặp rắn hấp tấp chạy
Bả mu,động kinh
Pền bả mu,bị bệnh động kinh
Bả mướng,dở hơi
cần Bả mướng,người dở hơi
Bả slâư,dại dột
Cần bả Bả slâư,người dại dột
Bá bảy,rối bời
Mốc slẩy Bá bảy,bụng dạ rối bời
Bạ,bã
chin nặm cài Bạ,ăn nước nhả bã
Bảc,bác
po bảc,ông bác
Bảc pả mì lèng chầy lá,bác bá khoẻ thôi chứ
Bạch ngạch,lếu láo
Chin phuối Bạch ngạch,ăn nói lếu láo
Bai,cuốc bướm
Au Bai bjai nhả,dùng cuốc bướm cào cỏ
Bai,cái muôi
Bai nặm keng,muôi nước canh
Bai,trộn
Khẩu nua Bai thúa,xôi trộn đỗ
Slon Bài,học bài
Bài lượn,bài lượn
Bài nhài,kể lể
Bài nhài lai tuyện,kể lể lắm chuyện
Bải,nhai
Vài Bải nhả,trâu nhai cỏ
Bải,vát
Bải pác bằng,vát miệng ống nước
Bại,những
Bại co khẩu,những cây lúa
Bại cần pây tông,những người đi làm đồng
Bam,chỗ lõm
Lâu nà mì lai búng Bam,thửa ruộng có nhiều chỗ lõm
Ban,nở nang
Slao Ban,cô gái nở nang
Ban,đầy đặn
Ban búm,đẫy đà
Tua đếch ngòi Ban búm,đứa trẻ trông đẫy đà
Bàn nhái,bàn lùi
Bàn nhái nắm đảy pền fiếc,bàn lùi việc không thành
Bản,làng
Bản mì lai rườn,bản có nhiều nhà
Bản con,làng xóm
Fiệc Bản con,việc làng xóm
Bán,sót
Ton Bán,thiến sót
Bang,mỏng
Slửa Bang,áo mỏng
Bang,thưa
Doòng ỏi Bang,khóm mía thưa
Bang,hiếm
Rườn lục Bang,nhà hiếm con
Bang,yếu
Mốc Bang,dạ yếu
Bang,xấu hổ
nả Bang,hay xấu hổ
Bang bính,mỏng tanh
Piếng phà Bang bính,tấm chăn mỏng tanh
Bang bít,mỏng dính
Bang bjém,mỏng mảnh
Nung slửa Bang bjém,mặc áo mỏng mảnh
Báng,con mèo bay
Pây pện Báng bên,đi như mèo bay
Hảy pện Báng,khóc như mèo bay kêu
Báng,con sóc bay
Báng,bạnh
Báng mạy chủ,bạnh cây sấu
Báng,hốc cây
Mạy non lòn pền Báng,cây bị sâu cắn thành hốc
Bảnh,bánh xe
Bảnh xe mạ,bánh xe ngựa
Bao,cây dọc
Mác Bao,quả dọc
Dầu mác Bao,dầu dọc
Lục Báo,con trai
Đây Báo,xinh trai
Báo đông,đười ươi
Báo đông cót bằng,đười ươi giữ ống
Báo léo,nam thiếu niên
Hò tỉ pền Báo léo dá,thằng kia sắp thành thanh niên rồi
Bát,nhọt
Pền Bát,lên nhọt
Bát slúc noong,nhọt mưng mủ
Bát,cây
Mác Bát bưa pja,quả thàn mát duốc cá
Bảt,lúc
Bảt khửn Bảt lồng,lúc lên lúc xuống
Bát đíp,nhọt thường
Khửn Bát đíp,lên nhọt
Bảt nẩy,thế này
Bảt nẩy nhẻn a,thế này thì xấu hổ lắm
Bảt nẩy,bây giờ
Bảt nẩy bấu tị dú,bây giờ không chỗ ở
Bảt tầu,đằng nào
Bảt tầu tố tồng căn,đằng nào cũng thế
Bảt toọc,ra trò
Phuối đây Bảt toọc,nói hay ra phết
Bảt toọc,một lèo
Chin Bảt toọc,ăn một lèo cho hết
Bau,bị phù
Cần pền Bau,người bị phù
Bau,nghịch ngợm
Đếch Bau lai,trẻ con nghịch quá
Hò nấy Bau,thằng này nghịch ngợm
Bắc,phương bắc
Rườn vín qua bưởng Bắc,nhà quay về hướng bắc
Bắc,cái vợt
Bắc xỏn pja,vợt xúc cá
Bắc,mảnh
Bắc nà cằn loong,mảnh ruộng bên suối
Bắc,nhăn
Cò mì Bắc,cổ có nếp nhăn
Nả Bắc,mếu
Bắc,cấu
Tò Bắc căn,cấu nhau
Bắc,bấm
Bắc,vồ
Slưa Bắc,hổ vồ
Băc bắm,chì chiết
Băc bắm,nhiều lời
Bấu đảy Băc bắm lăng lai a,đừng có nhiều lời làm gì nữa
Bắc bử,lúng búng
Phuối Bắc bử,nói lúng búng
Bắc ngắng,mếu máo
Te pây kha men toỏng đút,nả Bắc ngắng
Bắc ten tứng cần,chỉ đích danh từng người
Bẳm,mắm
Pja Bẳm,cá mắm
Kềm bặng Bẳm,mặn như mắm
Bẳn,ném
Bẳn hin,ném đá
Bẳn,bắn
Bẳn nả,bắn ná
Băng,băng
Chắc cạ mé pền khẩy,lan Băng mà dương
Băng quá kéo,băng qua đèo
Băng bại,vội vàng
Bẳng,cái
Sloong Bẳng pè khảm ta,hai cái bè sang sông
Bẳng fùm,cái go cửi
Bẳng,ống đựng nước
Sloong Bẳng nặm,hai ống nước
Ay khảu Bẳng,ho vào ống
Bặng,như
Bặng cạ pi noọng khen kha,như anh em ruột thịt
Bắp,ngô
Bưa Bắp,bột ngô
Sluôn Bắp,vườn ngô
Bặp,nước
Chin Bặp,uống nước
Bắt,ngạt
Bắt châu,ngạt thở
Bắt,đắt
Khai Bắt,bán đắt
Bắt,quý
