tay,viet
Queng tàng me,Đường vòng bà cô
Vằn lăng noọng ấc cải,Hôm sau em ngực bự
Tói tu noọng,Gõ cửa em gái
Oóc Chin,Sang tháng ăn nhé
Pây nồng mừa,Đi trung quốc về thôi nhé
Rềnh chư,"Vụt, vùng phải rồi"
Pét pi chin A dè,Tám năm ăn đi nào
Tàng mjạc pây A dè,Đường trơn đi thôi chứ
Cần nẩy le A lùa ỏi Cừa nam,người này là bà thím tôi bụi gai
Bảt nẩy Mjạc slao lai. A rối.,Bây giờ xinh gái quá. ôi.
Thém rườn pi á,Thềm nhà bà chị
Ngài Nắm pây nau á?,Cơm trưa không đi à?
đảy á Cà này,được rồi hiện nay
Cừn Hết đảy mí à?,"Đêm, đêm khuya làm được không hả?"
Bươn ngòa ả tu,Tháng trước mở cửa
Pài chại ả pác,Chiều tà há miệng
ả kha Rung chỏi,giạng chân sáng chói
ả mừ Ti,"xoè tay nơi, chỗ, chốn"
Ả tu ái pây liêu,Mở cửa muốn đi
Lặn ái thâng nèn,Quay lại sắp đến tết
ái thâng rườn Mường nưa,gần đến nhà vùng trên
ái mì 500 cần Lai rườn,có gần 500 người lợp lại nhà
Hát ta ải chải,Ghềnh sông cật lực
Am Bươn nhuận,nhão tháng nhuận
mỏ khảu bặng chảo Am Rườn Mạy,nồi cơm như cháo đặc nhà gỗ
Tơi nấy ám chin,Thời nay miếng ăn
Vằn nâư ám,Trời vừa sáng miếng
ám đin Bưởng Noọc,miếng đất bên ngoài
Bươn nhị ám tỉ,Tháng hai chỗ ấy
an Nả tẩu,yên ổn phía dưới
Lục slao dú bấu an,Nữ thanh niên ở không yên
an Dáng,lo liệu bước qua
Bươn chiêng an ý ngòi,Tháng giêng lo liệu xem
án cặm ngoà,đếm đêm qua
Làm nòn phồm án vài,Mất thì giờ nằm sấp đếm trâu
Lang áng,Sân chậu sành đựng nước
Nặm ti áng nặm,Quê hương chậu nước
áng Pài,bát to buổi chiều
Rườn mắn áng phẳn,Nhà vững chắc bát phở
Ngan ảng,Rừng sâu cổng
Chào tu ảng,Cái máng nước cổng chào
ảng Nả rườn,"khoe, khoe khoang phía trước nhà"
Tàng luông ảng slướng,Đường lớn khoe vẻ đẹp
ảng slướng Cằn nà,phô trương bờ ruộng
Vằn slinh ảo,Ngày sinh làm liều
ảo hết Rườn Côn,làm liều nhà sụp đổ
po áo Cổn,ông chú đáy
noọng áo khỏi Oóc pi,em trai tôi Sang năm
Không sloong áo,Nơi hai cô chú
