tay,viet,pos,theme
me,bà cô,Nc,
noọng,em gái,N,
Chin,ăn nhé,T,
mừa,về thôi nhé,T,
chư,phải rồi,C,
pi á,bà chị,Nc,
đảy á,được rồi,T,
ả tu,mở cửa,V,place
ả pác,há miệng,N,
ả kha,giạng chân,N,
ả mừ,xoè tay,V,
slấc ác,giặc độc ác,N,
ải chải,cật lực,R,
Am,nhão,M,
ám chin,miếng ăn,V,
ám,miếng,M,
ám đin,miếng đất,N,place
ám tỉ,chỗ ấy,P,place
ạm,nện,M,
an,yên ổn,A,
an,lo liệu,M,
án,đếm,V,
áng nặm,chậu nước,N,place
áng,bát to,N,
áng phẳn,bát phở,N,
ảng,cổng,N,place
tu ảng,cổng chào,V,place
ảng,"khoe, khoe khoang",V,
ảng slướng,khoe vẻ đẹp,V,
ảng slướng,phô trương,M,
ảo,làm liều,V,
ảo hết,làm liều,V,
áo,chú,Nc,
po áo,ông chú,Nc,
áo,cô chú,Nc,
sloong áo,hai cô chú,N,
áo khươi,chú,Nc,
áp,tắm,V,
ăm pha,chập đôi,N,
ắm,chen,V,
ằm,mẹ,N,
ăn cuôi,cái sọt,T,
ăn rườn,cái nhà,N,place
ăn đây,điều tốt,N,
ăn rại,điều xấu,N,
ăn vằn,hằng ngày,N,time
ăn bườn,hằng tháng,N,time
ăn pày,thường khi,N,time
ẩm,cái ấm,T,
Chếp ấc,đau ngực,V,
ấu,ninh,M,
ấu,hầm,N,
ấu đúc,ninh xương,N,
Ba,bè ra,V,
Xu ba,tai bè ra,N,
Ba minh,cái xà beng,T,
pền bả,bị điên,V,
ma bả,chó dại,N,
Bả thai,giãy chết,V,
Bả biếng,vội vàng,A,
Bả biếng,hấp tấp,N,
Bả mu,động kinh,N,
Bả mướng,dở hơi,R,
Bả slâư,dại dột,M,
Bá bảy,rối bời,M,
Bạ,bã,M,
Bảc,bác,Nc,
po bảc,ông bác,Nc,
Bảc pả,bác bá,N,
Bạch ngạch,lếu láo,N,
Bai,cuốc bướm,N,
Bai,cái muôi,T,
Bai,trộn,V,
Bài,bài,N,
Slon Bài,học bài,V,
Bài lượn,bài lượn,V,
Bài nhài,kể lể,V,
Bải,nhai,V,
Bải,vát,M,
Bại,những,L,
Bam,chỗ lõm,N,
Ban,nở nang,V,
Ban,đầy đặn,M,
Bâu Ban,lá bánh tẻ,N,
Ban búm,đẫy đà,N,
Bàn nhái,bàn lùi,V,
Bản,làng,N,place
Bản con,làng xóm,M,place
Bán,sót,M,
Ton Bán,thiến sót,N,
Bang,mỏng,M,
Slửa Bang,áo mỏng,N,
Bang,thưa,V,
Bang,hiếm,A,
Bang,yếu,A,
Mốc Bang,dạ yếu,N,
Bang,xấu hổ,V,
nả Bang,hay xấu hổ,C,
Bang bính,mỏng tanh,M,
Bang bít,mỏng dính,V,
Bang bjém,mỏng mảnh,M,
Báng,con mèo bay,V,
Báng,con sóc bay,V,
Báng,bạnh,M,
Báng,hốc cây,N,
Bảnh,bánh xe,M,
Bao,cây dọc,N,
Mác Bao,quả dọc,N,
Báo,trai,N,
Lục Báo,con trai,N,
Đây Báo,xinh trai,N,
Báo đông,đười ươi,N,
Báo léo,nam thiếu niên,N,time
Bát,nhọt,M,
Pền Bát,lên nhọt,V,
Bát,cây,N,
Bảt,lúc,N,time
Bát đíp,nhọt thường,N,
Bảt nẩy,thế này,P,
Bảt nẩy,bây giờ,P,time
Bảt tầu,đằng nào,P,time
Bảt toọc,ra trò,V,
